tr deiktis;gen disktis
-0,032499;-0,003482
-0,047883;-0,029255
-0,001004;0,029651
-0,000542;-0,005567
0,020167;0,004767
0,065928;0,030121
0,089453;0,074949
-0,027074;-0,000092
-0,052375;0,003615
-0,102387;-0,031661
0,016362;-0,003587
0,053951;0,016742
-0,044135;-0,033919
0,162097;0,038207
0,109018;0,074764
-0,139399;-0,072525
0,073603;0,055420
0,028697;0,077297
-0,077242;-0,006726
-0,069055;0,012701
-0,160872;-0,118840
0,063444;0,021486
-0,162413;-0,106022
-0,064047;-0,039811
0,119471;0,057838
-0,169508;-0,133876
-0,118692;-0,049817
-0,095194;-0,061661
-0,002980;0,010465
0,112426;0,062238
-0,078650;-0,059215
-0,082369;-0,045690
-0,041785;-0,020984
0,058063;0,021513
-0,109639;-0,075749
-0,036383;-0,020435
-0,017117;-0,005836
0,003130;0,003195
-0,017261;-0,005963
-0,010963;-0,003219
0,005381;0,003962
-0,008095;0,000489
0,006985;-0,001208
0,023978;0,010914
-0,008466;-0,009304
-0,036370;-0,011406
-0,010257;-0,002511
-0,003505;0,003793
-0,004716;0,006201
-0,001810;-0,001757
-0,007086;-0,010913
-0,006692;-0,007434
0,000061;-0,004394
-0,014507;-0,004033
-0,014116;-0,009259
-0,002417;0,007252
0,006733;-0,000660
-0,004932;-0,000307
-0,001645;0,004488
0,004559;0,005970
-0,000645;0,001866
0,006389;0,002172
0,026190;0,004663
-0,001596;0,003705
-0,014373;-0,004741
-0,005589;-0,003238
0,010908;0,006117
-0,016845;-0,002052
0,008052;0,008441
-0,013657;-0,006500
0,004298;0,013856
